STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/25/1970,40,40,,,,0,73,0,0,,55,32,,540,,,,,225,,,,,,17,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/26/1970,80,70,,,,0.32,38,0,0,,69,41,,282,,,,,225,,,,,,34,,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/27/1970,20,30,,,,0,89,0,0,,53,37,,666,,,,,315,,,,,,27.1,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/28/1970,30,40,,,,0,94,0,0,,57,33,,702,,,,,180,,,,,,21.9,1,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/29/1970,100,100,,,,1.19,0,1.4,0,,45,28,,0,,,,,45,,,,,,25.9,1,1,,1,,,,1,,,,,,,1,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/30/1970,80,70,,,,0,59,0,1,,41,25,,444,,,,,90,,,,,,15,,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/31/1970,70,90,,,,0.17,2,0,0,,41,33,,18,,,,,45,,,,,,16.1,1,,,1,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/1/1970,70,90,,,,0.19,53,0,0,,51,33,,402,,,,,180,,,,,,14.1,,,,1,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/2/1970,90,90,,,,1.71,10,0,0,,63,40,,78,,,,,270,,,,,,42.9,1,,1,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/3/1970,20,20,,,,0,97,0,0,,55,39,,744,,,,,270,,,,,,38,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/4/1970,70,90,,,,0,3,0,0,,53,36,,24,,,,,315,,,,,,17.9,,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/5/1970,20,20,,,,0,99,0,0,,53,34,,762,,,,,360,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/6/1970,60,70,,,,0,30,0,0,,52,32,,228,,,,,135,,,,,,17,,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/7/1970,50,60,,,,0,54,0,0,,58,39,,420,,,,,315,,,,,,23.9,,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/8/1970,40,30,,,,0,85,0,0,,63,34,,660,,,,,225,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/9/1970,60,80,,,,0.01,51,0,0,,76,45,,396,,,,,315,,,,,,34,,,1,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/10/1970,10,20,,,,0,100,0,0,,62,37,,780,,,,,315,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/11/1970,10,10,,,,0,100,0,0,,52,31,,786,,,,,315,,,,,,19,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/12/1970,0,0,,,,0,100,0,0,,60,32,,786,,,,,360,,,,,,13,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/13/1970,70,70,,,,0,93,0,0,,62,38,,750,,,,,225,,,,,,15,,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/14/1970,100,100,,,,2.28,0,0,0,,48,43,,0,,,,,45,,,,,,31.1,1,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/15/1970,80,100,,,,0.53,1,0,0,,53,44,,12,,,,,45,,,,,,30,1,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/16/1970,30,20,,,,0,97,0,0,,65,41,,780,,,,,135,,,,,,15,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/17/1970,80,90,,,,0,58,0,0,,64,44,,462,,,,,180,,,,,,14.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/18/1970,20,10,,,,0,97,0,0,,63,42,,780,,,,,360,,,,,,21.9,1,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",4/19/1970,80,100,,,,0.04,6,0,0,,51,40,,48,,,,,225,,,,,,11,,,,1,,,,1,,,,,,,1,,,,,,
